server_name,random_intercept,model,year,group
Hubert Hurkacz,0.00101313572598932,m_second_2022,2022,m_second
Hugo Dellien,0.00154970390481845,m_second_2022,2022,m_second
Jack Draper,-0.000563343527558772,m_second_2022,2022,m_second
Jack Sock,0.00268853661118309,m_second_2022,2022,m_second
James Duckworth,-0.00457187868503819,m_second_2022,2022,m_second
Jannik Sinner,0.0114515275880185,m_second_2022,2022,m_second
Jason Kubler,-0.00394405669972517,m_second_2022,2022,m_second
Jaume Munar,0.00275521233396846,m_second_2022,2022,m_second
Jenson Brooksby,0.00206763621099564,m_second_2022,2022,m_second
Jiri Vesely,0.000145539032279825,m_second_2022,2022,m_second
John Isner,-0.00150912911276505,m_second_2022,2022,m_second
Jordan Thompson,-0.00184305595727614,m_second_2022,2022,m_second
Liam Broady,-0.00204323721084818,m_second_2022,2022,m_second
Lorenzo Musetti,0.000846688453653911,m_second_2022,2022,m_second
Lorenzo Sonego,0.00038798141847351,m_second_2022,2022,m_second
Maxime Cressy,0.00399395657526482,m_second_2022,2022,m_second
Mikael Ymer,0.00262047206279707,m_second_2022,2022,m_second
Miomir Kecmanovic,-0.000942702214331234,m_second_2022,2022,m_second
Nick Kyrgios,-0.00943665362696949,m_second_2022,2022,m_second
Nikoloz Basilashvili,0.00163776926307226,m_second_2022,2022,m_second
Novak Djokovic,0.00625101221725643,m_second_2022,2022,m_second
Oscar Otte,-0.00691936340708629,m_second_2022,2022,m_second
Pablo Andujar,0.00151132822247916,m_second_2022,2022,m_second
Rafael Nadal,0.000157400723868978,m_second_2022,2022,m_second
Ricardas Berankis,-0.000631774053878422,m_second_2022,2022,m_second
Richard Gasquet,0.000787014989461716,m_second_2022,2022,m_second
Stan Wawrinka,0.00183334939484349,m_second_2022,2022,m_second
Stefan Kozlov,-0.00345988526185354,m_second_2022,2022,m_second
Stefanos Tsitsipas,0.00412646085447841,m_second_2022,2022,m_second
Steve Johnson,-0.00591418261837766,m_second_2022,2022,m_second
Tallon Griekspoor,0.000717278465581928,m_second_2022,2022,m_second
Taylor Fritz,-0.00495816477295054,m_second_2022,2022,m_second
Thanasi Kokkinakis,-0.00230083953722961,m_second_2022,2022,m_second
Tim Van Rijthoven,-0.00476021087792512,m_second_2022,2022,m_second
Tommy Paul,0.00265825631470472,m_second_2022,2022,m_second
Ugo Humbert,0.0008323631032429,m_second_2022,2022,m_second
Adrian Mannarino,0.0297624730888022,m_second_2023,2023,m_second
Alejandro Davidovich Fokina,0.0127440069644885,m_second_2023,2023,m_second
Alex De Minaur,0.00195340022049991,m_second_2023,2023,m_second
Alexander Bublik,0.0652284589371525,m_second_2023,2023,m_second
Alexander Zverev,0.0588028228506712,m_second_2023,2023,m_second
Alexandre Muller,0.0867945280866695,m_second_2023,2023,m_second
Andrey Rublev,-0.0699223491356211,m_second_2023,2023,m_second
Andy Murray,0.101269329309608,m_second_2023,2023,m_second
Aslan Karatsev,0.00744349123962054,m_second_2023,2023,m_second
Cameron Norrie,-0.0473211086247484,m_second_2023,2023,m_second
Carlos Alcaraz,-0.00472642929519311,m_second_2023,2023,m_second
Christopher Eubanks,-0.0389449231396735,m_second_2023,2023,m_second
Daniel Evans,0.05381243713736,m_second_2023,2023,m_second
Daniil Medvedev,-0.0985876661062211,m_second_2023,2023,m_second
David Goffin,0.036895131959277,m_second_2023,2023,m_second
Denis Shapovalov,-0.0410638888258006,m_second_2023,2023,m_second
Diego Schwartzman,-0.0133887156167745,m_second_2023,2023,m_second
Dominic Stricker,-0.0219670220672867,m_second_2023,2023,m_second
Dominic Thiem,0.0538847046906675,m_second_2023,2023,m_second
Emil Ruusuvuori,-0.0292533353771806,m_second_2023,2023,m_second
Fabian Marozsan,-0.0101218502667281,m_second_2023,2023,m_second
Frances Tiafoe,-0.0380872617384881,m_second_2023,2023,m_second
Gijs Brouwer,0.0339722166791186,m_second_2023,2023,m_second
Grigor Dimitrov,0.0126528608936368,m_second_2023,2023,m_second
Holger Rune,-0.0526095683691269,m_second_2023,2023,m_second
Hubert Hurkacz,0.0281356275542068,m_second_2023,2023,m_second
Ilya Ivashka,-0.0599508531615581,m_second_2023,2023,m_second
Jannik Sinner,0.00128609667714881,m_second_2023,2023,m_second
Jiri Lehecka,-0.0634379459487982,m_second_2023,2023,m_second
Jordan Thompson,-0.0140064405218521,m_second_2023,2023,m_second
Laslo Djere,0.00162521261100976,m_second_2023,2023,m_second
Lorenzo Musetti,0.0225054420683958,m_second_2023,2023,m_second
Lorenzo Sonego,0.03460069721947,m_second_2023,2023,m_second
Marco Cecchinato,-0.00419429954863839,m_second_2023,2023,m_second
Marton Fucsovics,-0.024241292676518,m_second_2023,2023,m_second
Matteo Berrettini,-0.0435701947146541,m_second_2023,2023,m_second
Max Purcell,0.00117317143231134,m_second_2023,2023,m_second
Maxime Cressy,0.0143545261438714,m_second_2023,2023,m_second
Maximilian Marterer,-0.0246374088724048,m_second_2023,2023,m_second
Mikael Ymer,0.00177975497740404,m_second_2023,2023,m_second
Nicolas Jarry,-0.0987379066239331,m_second_2023,2023,m_second
Novak Djokovic,0.0423202436726781,m_second_2023,2023,m_second
Pedro Cachin,-0.0132985322771793,m_second_2023,2023,m_second
Quentin Halys,0.0232064937105164,m_second_2023,2023,m_second
Radu Albot,-0.0174170709393231,m_second_2023,2023,m_second
Roberto Carballes Baena,0.0312196348766605,m_second_2023,2023,m_second
Roman Safiullin,0.0705827797780768,m_second_2023,2023,m_second
Stan Wawrinka,-0.0366513957565546,m_second_2023,2023,m_second
Stefanos Tsitsipas,0.0269443909431366,m_second_2023,2023,m_second
Taylor Fritz,0.00862109205022579,m_second_2023,2023,m_second
Tommy Paul,0.0366092711751377,m_second_2023,2023,m_second
Yannick Hanfmann,0.0459801493251369,m_second_2023,2023,m_second
Yibing Wu,-0.0814918833962537,m_second_2023,2023,m_second
Yosuke Watanuki,-0.00533839352906109,m_second_2023,2023,m_second
Adrian Mannarino,0,m_second_2024,2024,m_second
Alejandro Tabilo,0,m_second_2024,2024,m_second
Aleksandar Kovacevic,0,m_second_2024,2024,m_second
Aleksandar Vukic,0,m_second_2024,2024,m_second
Alex de Minaur,0,m_second_2024,2024,m_second
Alexander Bublik,0,m_second_2024,2024,m_second
Alexander Zverev,0,m_second_2024,2024,m_second
Alexandre Muller,0,m_second_2024,2024,m_second
Alexei Popyrin,0,m_second_2024,2024,m_second
Arthur Fils,0,m_second_2024,2024,m_second
Arthur Rinderknech,0,m_second_2024,2024,m_second
Ben Shelton,0,m_second_2024,2024,m_second
Borna Coric,0,m_second_2024,2024,m_second
Botic van De Zandschulp,0,m_second_2024,2024,m_second
Brandon Nakashima,0,m_second_2024,2024,m_second
Cameron Norrie,0,m_second_2024,2024,m_second
Carlos Alcaraz,0,m_second_2024,2024,m_second
Casper Ruud,0,m_second_2024,2024,m_second
Daniel Evans,0,m_second_2024,2024,m_second
Daniil Medvedev,0,m_second_2024,2024,m_second
Denis Shapovalov,0,m_second_2024,2024,m_second
Dusan Lajovic,0,m_second_2024,2024,m_second
Emil Ruusuvuori,0,m_second_2024,2024,m_second
Fabio Fognini,0,m_second_2024,2024,m_second
Facundo Diaz Acosta,0,m_second_2024,2024,m_second
