"match_id","slam","year","ElapsedTime","PointNumber","player1","player2","Speed_MPH","ServeNumber","PointServer","PointWinner","ServeWidth","ServeDepth","RallyCount","GameNo","P1DistanceRun","P2DistanceRun","serving_player_won","speed_ratio","player1_name","player2_name","player1_avg_welo","player2_avg_welo","ElapsedSeconds"
"2023-wimbledon-2101","wimbledon",2023,"0:38:44",49,"Iga Swiatek","Lin Zhu",104,1,2,2,"BC","NCTL",5,1,20.019,19.375,0,1.03826955074875,"swiatek i.","zhu l.",1585.50639341434,1500,2324
"2023-wimbledon-2101","wimbledon",2023,"0:39:27",50,"Iga Swiatek","Lin Zhu",84,2,2,2,"BW","CTL",1,1,2.696,3.099,1,0.838602329450915,"swiatek i.","zhu l.",1585.50639341434,1500,2367
"2023-wimbledon-2101","wimbledon",2023,"0:40:35",51,"Iga Swiatek","Lin Zhu",108,1,1,2,"B","NCTL",4,2,11.378,17.174,0,1.06530612244898,"swiatek i.","zhu l.",1585.50639341434,1500,2435
"2023-wimbledon-2101","wimbledon",2023,"0:41:07",52,"Iga Swiatek","Lin Zhu",115,1,1,1,"B","CTL",7,2,17.492,43.043,1,1.1343537414966,"swiatek i.","zhu l.",1585.50639341434,1500,2467
"2023-wimbledon-2101","wimbledon",2023,"0:41:43",53,"Iga Swiatek","Lin Zhu",76,2,1,2,"BC","NCTL",2,2,14.096,12.628,1,0.749659863945578,"swiatek i.","zhu l.",1585.50639341434,1500,2503
"2023-wimbledon-2101","wimbledon",2023,"0:43:18",55,"Iga Swiatek","Lin Zhu",107,1,1,1,"BW","NCTL",1,2,3.614,3.823,1,1.05544217687075,"swiatek i.","zhu l.",1585.50639341434,1500,2598
"2023-wimbledon-2101","wimbledon",2023,"0:43:44",56,"Iga Swiatek","Lin Zhu",97,1,1,1,"BC","NCTL",5,2,14.019,13.958,1,0.956802721088435,"swiatek i.","zhu l.",1585.50639341434,1500,2624
"2023-wimbledon-2101","wimbledon",2023,"0:44:16",57,"Iga Swiatek","Lin Zhu",90,1,1,1,"W","CTL",3,2,6.577,10.938,1,0.887755102040816,"swiatek i.","zhu l.",1585.50639341434,1500,2656
"2023-wimbledon-2101","wimbledon",2023,"0:44:44",58,"Iga Swiatek","Lin Zhu",73,2,1,1,"BW","NCTL",5,2,23.006,20.912,0,0.720068027210884,"swiatek i.","zhu l.",1585.50639341434,1500,2684
"2023-wimbledon-2101","wimbledon",2023,"0:45:54",59,"Iga Swiatek","Lin Zhu",86,2,2,1,"BC","NCTL",4,3,12.459,12.706,0,0.858569051580699,"swiatek i.","zhu l.",1585.50639341434,1500,2754
"2023-wimbledon-2101","wimbledon",2023,"0:46:34",60,"Iga Swiatek","Lin Zhu",100,1,2,2,"C","NCTL",5,3,40.553,16.731,0,0.998336106489185,"swiatek i.","zhu l.",1585.50639341434,1500,2794
"2023-wimbledon-2101","wimbledon",2023,"0:47:03",61,"Iga Swiatek","Lin Zhu",96,1,2,2,"W","CTL",9,3,48.009,36.08,0,0.958402662229617,"swiatek i.","zhu l.",1585.50639341434,1500,2823
"2023-wimbledon-2101","wimbledon",2023,"0:47:59",62,"Iga Swiatek","Lin Zhu",103,1,2,1,"BW","NCTL",6,3,28.214,27.211,1,1.02828618968386,"swiatek i.","zhu l.",1585.50639341434,1500,2879
"2023-wimbledon-2101","wimbledon",2023,"0:48:58",63,"Iga Swiatek","Lin Zhu",80,2,2,1,"BC","NCTL",4,3,18.589,14.732,0,0.798668885191348,"swiatek i.","zhu l.",1585.50639341434,1500,2938
"2023-wimbledon-2101","wimbledon",2023,"0:49:43",64,"Iga Swiatek","Lin Zhu",87,2,2,2,"B","NCTL",1,3,3.996,3.301,1,0.868552412645591,"swiatek i.","zhu l.",1585.50639341434,1500,2983
"2023-wimbledon-2101","wimbledon",2023,"0:50:34",65,"Iga Swiatek","Lin Zhu",85,2,2,1,"BC","NCTL",2,3,4.805,5.491,0,0.848585690515807,"swiatek i.","zhu l.",1585.50639341434,1500,3034
"2023-wimbledon-2101","wimbledon",2023,"0:51:11",66,"Iga Swiatek","Lin Zhu",100,1,2,2,"C","NCTL",3,3,12.282,9.516,0,0.998336106489185,"swiatek i.","zhu l.",1585.50639341434,1500,3071
"2023-wimbledon-2101","wimbledon",2023,"0:51:37",67,"Iga Swiatek","Lin Zhu",100,1,2,1,"BW","NCTL",4,3,23.28,12.569,1,0.998336106489185,"swiatek i.","zhu l.",1585.50639341434,1500,3097
"2023-wimbledon-2101","wimbledon",2023,"0:52:08",68,"Iga Swiatek","Lin Zhu",83,2,2,1,"BW","NCTL",6,3,16.726,19.407,0,0.828618968386023,"swiatek i.","zhu l.",1585.50639341434,1500,3128
"2023-wimbledon-2101","wimbledon",2023,"0:55:05",70,"Iga Swiatek","Lin Zhu",108,1,1,1,"B","NCTL",3,4,12.59,10.331,1,1.06530612244898,"swiatek i.","zhu l.",1585.50639341434,1500,3305
"2023-wimbledon-2101","wimbledon",2023,"0:55:46",71,"Iga Swiatek","Lin Zhu",74,2,1,1,"BC","NCTL",7,4,29.228,25.797,0,0.729931972789116,"swiatek i.","zhu l.",1585.50639341434,1500,3346
"2023-wimbledon-2101","wimbledon",2023,"0:56:40",72,"Iga Swiatek","Lin Zhu",108,1,1,1,"B","NCTL",9,4,34.259,38.447,1,1.06530612244898,"swiatek i.","zhu l.",1585.50639341434,1500,3400
"2023-wimbledon-2101","wimbledon",2023,"0:57:24",73,"Iga Swiatek","Lin Zhu",104,1,1,2,"BC","CTL",6,4,20.905,21.044,0,1.02585034013605,"swiatek i.","zhu l.",1585.50639341434,1500,3444
"2023-wimbledon-2101","wimbledon",2023,"0:58:01",74,"Iga Swiatek","Lin Zhu",86,2,1,2,"BW","NCTL",2,4,7.834,10.092,1,0.848299319727891,"swiatek i.","zhu l.",1585.50639341434,1500,3481
"2023-wimbledon-2101","wimbledon",2023,"0:58:48",75,"Iga Swiatek","Lin Zhu",98,1,1,2,"B","NCTL",6,4,16.563,32.316,0,0.966666666666667,"swiatek i.","zhu l.",1585.50639341434,1500,3528
"2023-wimbledon-2101","wimbledon",2023,"0:59:26",76,"Iga Swiatek","Lin Zhu",103,1,1,2,"C","NCTL",6,4,13.473,20.57,0,1.01598639455782,"swiatek i.","zhu l.",1585.50639341434,1500,3566
"2023-wimbledon-2101","wimbledon",2023,"1:00:08",77,"Iga Swiatek","Lin Zhu",91,1,2,1,"BW","NCTL",6,5,23.792,30.127,1,0.908485856905158,"swiatek i.","zhu l.",1585.50639341434,1500,3608
"2023-wimbledon-2101","wimbledon",2023,"1:00:43",78,"Iga Swiatek","Lin Zhu",76,2,2,1,"BW","NCTL",2,5,4.65,6.47,0,0.75873544093178,"swiatek i.","zhu l.",1585.50639341434,1500,3643
"2023-wimbledon-2101","wimbledon",2023,"1:01:23",79,"Iga Swiatek","Lin Zhu",104,1,2,1,"C","NCTL",4,5,19.787,16.774,1,1.03826955074875,"swiatek i.","zhu l.",1585.50639341434,1500,3683
"2023-wimbledon-2101","wimbledon",2023,"1:01:54",80,"Iga Swiatek","Lin Zhu",100,1,2,2,"C","CTL",1,5,0.828,1.13,0,0.998336106489185,"swiatek i.","zhu l.",1585.50639341434,1500,3714
"2023-wimbledon-2101","wimbledon",2023,"1:02:28",81,"Iga Swiatek","Lin Zhu",99,1,2,1,"BC","CTL",4,5,11.752,10.559,1,0.988352745424293,"swiatek i.","zhu l.",1585.50639341434,1500,3748
"2023-wimbledon-2101","wimbledon",2023,"1:04:37",82,"Iga Swiatek","Lin Zhu",97,1,1,1,"B","NCTL",11,6,27.793,29.329,1,0.956802721088435,"swiatek i.","zhu l.",1585.50639341434,1500,3877
"2023-wimbledon-2101","wimbledon",2023,"1:05:15",83,"Iga Swiatek","Lin Zhu",103,1,1,1,"BC","NCTL",3,6,19.254,18.588,1,1.01598639455782,"swiatek i.","zhu l.",1585.50639341434,1500,3915
"2023-wimbledon-2101","wimbledon",2023,"1:05:47",84,"Iga Swiatek","Lin Zhu",76,2,1,1,"C","NCTL",7,6,26.346,30.27,0,0.749659863945578,"swiatek i.","zhu l.",1585.50639341434,1500,3947
"2023-wimbledon-2101","wimbledon",2023,"1:06:39",85,"Iga Swiatek","Lin Zhu",68,1,1,1,"BW","NCTL",5,6,17.26,21.633,1,0.670748299319728,"swiatek i.","zhu l.",1585.50639341434,1500,3999
"2023-wimbledon-2101","wimbledon",2023,"1:07:25",86,"Iga Swiatek","Lin Zhu",104,1,2,2,"BC","NCTL",5,7,25.841,16.429,0,1.03826955074875,"swiatek i.","zhu l.",1585.50639341434,1500,4045
"2023-wimbledon-2101","wimbledon",2023,"1:07:51",87,"Iga Swiatek","Lin Zhu",104,1,2,2,"BC","CTL",1,7,4.865,4.986,0,1.03826955074875,"swiatek i.","zhu l.",1585.50639341434,1500,4071
"2023-wimbledon-2101","wimbledon",2023,"1:08:12",88,"Iga Swiatek","Lin Zhu",107,1,2,1,"C","NCTL",6,7,29.994,20.666,1,1.06821963394343,"swiatek i.","zhu l.",1585.50639341434,1500,4092
"2023-wimbledon-2101","wimbledon",2023,"1:08:47",89,"Iga Swiatek","Lin Zhu",95,2,2,1,"BC","NCTL",6,7,17.855,23.922,0,0.948419301164725,"swiatek i.","zhu l.",1585.50639341434,1500,4127
"2023-wimbledon-2101","wimbledon",2023,"1:09:44",90,"Iga Swiatek","Lin Zhu",92,2,2,2,"BW","NCTL",5,7,16.006,15.079,1,0.91846921797005,"swiatek i.","zhu l.",1585.50639341434,1500,4184
"2023-wimbledon-2101","wimbledon",2023,"1:10:27",91,"Iga Swiatek","Lin Zhu",103,1,2,2,"BC","NCTL",1,7,2.73,2.653,0,1.02828618968386,"swiatek i.","zhu l.",1585.50639341434,1500,4227
"2023-wimbledon-2101","wimbledon",2023,"1:35:29",92,"Iga Swiatek","Lin Zhu",107,1,1,1,"BC","NCTL",5,8,30.149,17.033,1,1.05544217687075,"swiatek i.","zhu l.",1585.50639341434,1500,5729
"2023-wimbledon-2101","wimbledon",2023,"1:36:00",93,"Iga Swiatek","Lin Zhu",104,1,1,1,"C","NCTL",5,8,18.382,20.581,1,1.02585034013605,"swiatek i.","zhu l.",1585.50639341434,1500,5760
"2023-wimbledon-2101","wimbledon",2023,"1:36:31",94,"Iga Swiatek","Lin Zhu",92,1,1,2,"W","NCTL",10,8,21.042,30.646,0,0.907482993197279,"swiatek i.","zhu l.",1585.50639341434,1500,5791
"2023-wimbledon-2101","wimbledon",2023,"1:37:07",95,"Iga Swiatek","Lin Zhu",102,1,1,1,"B","NCTL",5,8,13.622,9.48,1,1.00612244897959,"swiatek i.","zhu l.",1585.50639341434,1500,5827
"2023-wimbledon-2101","wimbledon",2023,"1:37:37",96,"Iga Swiatek","Lin Zhu",112,1,1,1,"BC","NCTL",1,8,4.557,6.913,1,1.1047619047619,"swiatek i.","zhu l.",1585.50639341434,1500,5857
"2023-wimbledon-2101","wimbledon",2023,"1:38:13",97,"Iga Swiatek","Lin Zhu",106,1,2,1,"C","NCTL",2,9,7.469,5.302,1,1.05823627287854,"swiatek i.","zhu l.",1585.50639341434,1500,5893
"2023-wimbledon-2101","wimbledon",2023,"1:38:37",98,"Iga Swiatek","Lin Zhu",78,2,2,1,"W","NCTL",8,9,27.409,30.239,0,0.778702163061564,"swiatek i.","zhu l.",1585.50639341434,1500,5917
"2023-wimbledon-2101","wimbledon",2023,"1:39:28",99,"Iga Swiatek","Lin Zhu",101,1,2,2,"B","CTL",5,9,24.555,19.373,0,1.00831946755408,"swiatek i.","zhu l.",1585.50639341434,1500,5968
"2023-wimbledon-2101","wimbledon",2023,"1:39:59",100,"Iga Swiatek","Lin Zhu",101,1,2,2,"BW","NCTL",11,9,53.254,39.442,0,1.00831946755408,"swiatek i.","zhu l.",1585.50639341434,1500,5999
"2023-wimbledon-2101","wimbledon",2023,"1:40:44",101,"Iga Swiatek","Lin Zhu",87,2,2,1,"B","NCTL",2,9,9.126,6.87,0,0.868552412645591,"swiatek i.","zhu l.",1585.50639341434,1500,6044
"2023-wimbledon-2101","wimbledon",2023,"1:41:26",102,"Iga Swiatek","Lin Zhu",75,2,2,1,"BW","NCTL",2,9,4.787,6.751,0,0.748752079866889,"swiatek i.","zhu l.",1585.50639341434,1500,6086
"2023-wimbledon-2103","wimbledon",2023,"0:00:00",1,"Diane Parry","Harriet Dart",89,1,2,1,"W","CTL",2,1,12.229,9.707,1,0.990686051794639,"parry d.","dart h.",1518.94497447145,1500,0
"2023-wimbledon-2103","wimbledon",2023,"0:00:20",2,"Diane Parry","Harriet Dart",89,1,2,1,"BW","CTL",4,1,10.973,12.029,1,0.990686051794639,"parry d.","dart h.",1518.94497447145,1500,20
"2023-wimbledon-2103","wimbledon",2023,"0:00:44",3,"Diane Parry","Harriet Dart",102,1,2,2,"C","NCTL",7,1,27.036,21.368,0,1.13539300318037,"parry d.","dart h.",1518.94497447145,1500,44
"2023-wimbledon-2103","wimbledon",2023,"0:01:16",4,"Diane Parry","Harriet Dart",70,2,2,1,"B","NCTL",2,1,4.754,5.498,0,0.779191276692413,"parry d.","dart h.",1518.94497447145,1500,76
"2023-wimbledon-2103","wimbledon",2023,"0:01:52",5,"Diane Parry","Harriet Dart",98,1,2,2,"C","CTL",1,1,0.859,0.943,0,1.09086778736938,"parry d.","dart h.",1518.94497447145,1500,112
