"ServerName","serve_score_rf","serve_score_rf_weighted","ace_pct","avg_speed","sd_speed","location_entropy","rescaled_ace_pct","rescaled_avg_speed","rescaled_sd_speed","rescaled_location_entropy","n_serves"
"mattia bellucci",0.347073227919825,0.445781524274731,0.1125,113.925,9.82476205142336,2.70454898481477,0.387873134328358,0.481351627151476,0.730886304498444,0.618616490347116,80
"alejandro tabilo",0.521363165795634,0.445710318887067,0.111111111111111,115.192592592593,7.76857071728751,2.78844515074464,0.383084577114428,0.54064735611157,0.456337670054788,0.714019360951658,135
"laslo djere",1.07003911661471,0.443672124918197,0.10752688172043,115.408602150538,8.70936097982807,2.66215125448435,0.370727010110737,0.550751899381661,0.581954716285047,0.570403736691354,93
"stan wawrinka",0.165104423164819,0.441686704901952,0.0886075949367089,119.130801687764,7.0105686402501,2.72317789321735,0.305497827319101,0.724869779357063,0.355127032843569,0.63980043025827,237
"pedro cachin",-0.0113929226417202,0.440842766991231,0.107692307692308,117.276923076923,6.2010777599233,2.51431177347593,0.371297359357061,0.638148632297905,0.247041461185561,0.402287462001532,65
"ilya ivashka",-0.210544771874929,0.433652114957675,0.0990990990990991,116.234234234234,7.70000585000363,2.78518163214925,0.341670028237192,0.589373501102685,0.447182689985041,0.710308237340453,111
"karen khachanov",-0.159754979417217,0.421445376207704,0.0992647058823529,117.268382352941,5.40650424474722,2.63587053905715,0.342241000877963,0.637749112406961,0.140947699415882,0.540518512908996,272
"novak djokovic",0.766892408996014,0.417922421967458,0.0935046395431834,117.201284796574,6.92517342162254,2.55248201476263,0.322381667678737,0.634610407952951,0.343724815417112,0.44569290908076,1401
"carlos alcaraz",0.435807116519278,0.416022745941604,0.0680970149253731,118.899253731343,8.12743503139389,2.97226127308306,0.234782245488973,0.714038377418142,0.504254274775755,0.92304662149584,1072
"arthur fils",-0.768012183633324,0.415635531591907,0.0714285714285714,120.871428571429,6.44468420105638,2.53339771187311,0.246268656716418,0.806293211868093,0.279568500203978,0.423991115453287,70
"fabian marozsan",-0.118885300882606,0.412492933037352,0.101694915254237,114.237288135593,7.16634611618262,2.89348102013531,0.350619782443714,0.495959911196206,0.375926893529845,0.833461332408257,59
"jason kubler",0.26162179556537,0.411920046067042,0.0926829268292683,116.351219512195,7.6256507903318,2.57635664578689,0.319548598471059,0.594845864521994,0.437254586623271,0.472842044075116,205
"jaume munar",-0.0116965107296397,0.411412687558423,0.0708661417322835,117.314960629921,9.54745938731378,2.93775997075665,0.244329533435186,0.639927961434147,0.693860047994513,0.883813323465434,127
"aljaz bedene",-0.207190785607523,0.409208125139205,0.0909090909090909,116.072727272727,8.02739417488996,2.60535918177432,0.313432835820896,0.581818492442452,0.490896529275251,0.505822397317064,55
