server_name,random_intercept,group,model,label
Grigor Dimitrov,0.095312506995723,m_first,speed_ratio_z,Average
Hamad Medjedovic,0.093611819143461,m_first,speed_ratio_z,Average
Holger Rune,-0.0406058703377858,m_first,speed_ratio_z,Average
Hubert Hurkacz,0.00543716716645187,m_first,speed_ratio_z,Average
Hugo Gaston,-0.205811057749506,m_first,speed_ratio_z,Under-performer
Jack Draper,0.00974540617021705,m_first,speed_ratio_z,Average
Jakub Mensik,-0.0613672041565455,m_first,speed_ratio_z,Average
James Duckworth,-0.0678735929157985,m_first,speed_ratio_z,Average
Jannik Sinner,-0.101782914900921,m_first,speed_ratio_z,Average
Jiri Lehecka,-0.0488322000892379,m_first,speed_ratio_z,Average
Jordan Thompson,-0.0499810775287693,m_first,speed_ratio_z,Average
Juncheng Shang,0.0587558674112298,m_first,speed_ratio_z,Average
Karen Khachanov,0.0462615060799471,m_first,speed_ratio_z,Average
Laslo Djere,-0.025791759277403,m_first,speed_ratio_z,Average
Lorenzo Musetti,-0.0837313549493218,m_first,speed_ratio_z,Average
Lorenzo Sonego,0.0450623624342434,m_first,speed_ratio_z,Average
Luca Nardi,0.000275918677488128,m_first,speed_ratio_z,Average
Luciano Darderi,-0.0596152073730603,m_first,speed_ratio_z,Average
Mackenzie McDonald,-0.101716776389271,m_first,speed_ratio_z,Average
Marcos Giron,-0.0145178440199494,m_first,speed_ratio_z,Average
Mariano Navone,-0.0761795196331142,m_first,speed_ratio_z,Average
Matteo Arnaldi,0.00372005725267043,m_first,speed_ratio_z,Average
Matteo Berrettini,-0.0169149997973131,m_first,speed_ratio_z,Average
Mattia Bellucci,0.117764182155027,m_first,speed_ratio_z,Average
Max Purcell,0.0256107193941996,m_first,speed_ratio_z,Average
Maximilian Marterer,-0.0403105692678744,m_first,speed_ratio_z,Average
Miomir Kecmanovic,0.0789733059257041,m_first,speed_ratio_z,Average
Nicolas Jarry,0.0182340833900703,m_first,speed_ratio_z,Average
Novak Djokovic,0.219743537823314,m_first,speed_ratio_z,Over-performer
Nuno Borges,-0.0954600973683184,m_first,speed_ratio_z,Average
Pavel Kotov,-0.139407799411976,m_first,speed_ratio_z,Average
Pedro Martinez,-0.111044904989807,m_first,speed_ratio_z,Average
Rinky Hijikata,-0.155370983821873,m_first,speed_ratio_z,Average
Roberto Bautista Agut,-0.0472871770733112,m_first,speed_ratio_z,Average
Roberto Carballes Baena,-0.0794564847676467,m_first,speed_ratio_z,Average
Roman Safiullin,0.0679294776284923,m_first,speed_ratio_z,Average
Sebastian Baez,-0.142749350868019,m_first,speed_ratio_z,Average
Sebastian Korda,-0.0453323447897306,m_first,speed_ratio_z,Average
Sebastian Ofner,0.0013995632564333,m_first,speed_ratio_z,Average
Stan Wawrinka,0.0179007176877693,m_first,speed_ratio_z,Average
Stefanos Tsitsipas,0.123837560837385,m_first,speed_ratio_z,Average
Sumit Nagal,-0.0644059381288072,m_first,speed_ratio_z,Average
Tallon Griekspoor,0.0208425296249004,m_first,speed_ratio_z,Average
Taylor Fritz,0.0473951213696552,m_first,speed_ratio_z,Average
Thanasi Kokkinakis,0.0841413403207847,m_first,speed_ratio_z,Average
Thiago Monteiro,-0.0531933057884683,m_first,speed_ratio_z,Average
Thiago Seyboth Wild,0.0180969048278427,m_first,speed_ratio_z,Average
Tomas Machac,-0.056393104048789,m_first,speed_ratio_z,Average
Tommy Paul,0.00744288621680091,m_first,speed_ratio_z,Average
Ugo Humbert,0.00514504145792301,m_first,speed_ratio_z,Average
Yunchaokete Bu,-0.0407575076665929,m_first,speed_ratio_z,Average
Zizou Bergs,0.0590832049839375,m_first,speed_ratio_z,Average
Adam Walton,0.00778999909471541,m_second,Speed_MPH_z,Average
Adrian Mannarino,0.0239832674592131,m_second,Speed_MPH_z,Average
Alejandro Davidovich Fokina,0.00981219751222026,m_second,Speed_MPH_z,Average
Alejandro Tabilo,-0.0261164778216718,m_second,Speed_MPH_z,Average
Aleksandar Kovacevic,-0.0278446394456072,m_second,Speed_MPH_z,Average
Aleksandar Vukic,-0.0017157040058382,m_second,Speed_MPH_z,Average
Alex de Minaur,0.069356702489297,m_second,Speed_MPH_z,Average
Alex Michelsen,-0.0560998559468238,m_second,Speed_MPH_z,Average
Alexander Bublik,0.00496341034843862,m_second,Speed_MPH_z,Average
Alexander Shevchenko,0.0476763601485909,m_second,Speed_MPH_z,Average
Alexander Zverev,0.011324340961871,m_second,Speed_MPH_z,Average
Alexandre Muller,-0.0450760447481474,m_second,Speed_MPH_z,Average
Alexei Popyrin,-0.0351395573643466,m_second,Speed_MPH_z,Average
Andrey Rublev,-0.0059571348616628,m_second,Speed_MPH_z,Average
Arthur Cazaux,-0.0285077918420903,m_second,Speed_MPH_z,Average
Arthur Fils,-0.0355676298337874,m_second,Speed_MPH_z,Average
Arthur Rinderknech,-0.0783490439020286,m_second,Speed_MPH_z,Average
Ben Shelton,0.0165466226223206,m_second,Speed_MPH_z,Average
Borna Coric,-0.00823217727059062,m_second,Speed_MPH_z,Average
Botic van De Zandschulp,-0.0341359174197828,m_second,Speed_MPH_z,Average
Botic Van De Zandschulp,0.0475166116744727,m_second,Speed_MPH_z,Average
Brandon Nakashima,-0.0271002781778475,m_second,Speed_MPH_z,Average
Carlos Alcaraz,0.215664148788169,m_second,Speed_MPH_z,Over-performer
Casper Ruud,0.0486804480575224,m_second,Speed_MPH_z,Average
Christopher Eubanks,-0.0189964100139284,m_second,Speed_MPH_z,Average
Constant Lestienne,-0.0691811008360544,m_second,Speed_MPH_z,Average
Corentin Moutet,0.0920205030922696,m_second,Speed_MPH_z,Over-performer
Daniel Altmaier,-0.0371918423503569,m_second,Speed_MPH_z,Average
Daniel Evans,-0.0310388586267466,m_second,Speed_MPH_z,Average
Daniil Medvedev,-0.0861482828275188,m_second,Speed_MPH_z,Average
David Goffin,-0.0537440951018058,m_second,Speed_MPH_z,Average
Denis Shapovalov,0.027507061325911,m_second,Speed_MPH_z,Average
Dominik Koepfer,-0.0512988203357442,m_second,Speed_MPH_z,Average
Dusan Lajovic,0.0107901210761605,m_second,Speed_MPH_z,Average
Fabian Marozsan,-0.0605537843664038,m_second,Speed_MPH_z,Average
Fabio Fognini,-0.00321695295503188,m_second,Speed_MPH_z,Average
Facundo Diaz Acosta,0.0285521952431881,m_second,Speed_MPH_z,Average
Federico Coria,-0.0445168292602804,m_second,Speed_MPH_z,Average
Flavio Cobolli,0.0135664403145461,m_second,Speed_MPH_z,Average
Frances Tiafoe,0.0357656478021985,m_second,Speed_MPH_z,Average
Francisco Cerundolo,0.0409910400102767,m_second,Speed_MPH_z,Average
Gabriel Diallo,-0.017035023396373,m_second,Speed_MPH_z,Average
Gael Monfils,-0.00936519329055779,m_second,Speed_MPH_z,Average
Grigor Dimitrov,0.0187502011635253,m_second,Speed_MPH_z,Average
Hamad Medjedovic,-0.0186042811769084,m_second,Speed_MPH_z,Average
