"ServerName","serve_efficiency","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"fabian marozsan",0.406779661016949,-0.424373192140665,-0.395345675947311,1.11457558415714,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.0378322208032965,0.146285487669291,0.240666883546962,0.399611511374603,0.379529089328856,0.355237901210785,-0.00847967332821159
"fabio fognini",0.383233532934132,-0.903695128938846,-1.45689877752656,1.02361694764673,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.12801873176377,-0.0435763603036948,0.168659188503786,0.358977557291642,0.391351089564538,0.347113102674484,-0.180055168120569
"facundo diaz acosta",0.371428571428571,-1.13269389183627,-1.03600317517988,1.63020113064573,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.163372785694205,0.17323324235662,0.226276346206489,0.340473989580684,0.339158077855948,0.322968721389771,-0.187470761369309
"federico delbonis",0.380952380952381,-0.40186881001177,-0.844007538512054,0.53147001950574,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,-0.11235471810334,-0.146029759294249,-0.333228003271133,0.402240463314127,0.40815531466539,0.452317237854004,-0.0646251887950954
"feliciano lopez",0.490196078431373,0.889135173776999,-0.077661311507189,0.548610321550182,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.0961500037731525,0.0327537132983625,-0.066695637860309,0.471978337032009,0.484094602293794,0.504479765892029,0.354901553351121
"frances tiafoe",0.492359932088285,0.94180215199898,-0.368903396220452,0.882303157996998,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.10115231229181,0.0859156057507833,0.080147154363811,0.473194392879077,0.476355272904795,0.475195437669754,0.402777446210615
"francisco cerundolo",0.357142857142857,-0.795175438016559,-2.02665714639921,1.41029590545488,-0.0894427190999916,-0.0894427190999916,5.47795582311504,-1.8975227515349,-0.447557473748001,0.507248053931136,0.192848564529439,0.443423005883843,0.261033512273249,0.321218352830195,0.262178391218185,-0.111943115963778
"gael monfils",0.49468085106383,-0.539796168316149,2.1417098397796,-1.6041254855493,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.0893488715820079,0.1669517091058,0.176130767549912,0.47775173434069,0.463580503449564,0.456960290670395,-0.297235500993069
"gijs brouwer",0.507462686567164,-0.68980240155206,0.943849752626378,-0.872422784686892,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.382675922846429,0.290757911426067,0.346985128101057,0.434956282733556,0.453299287070499,0.433151572942734,-0.281913640843729
"grigor dimitrov",0.553398058252427,1.09024819633539,0.497687135804492,0.227592163435757,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.331326503492931,0.32542445433067,0.331151113273113,0.490620935813301,0.492776854036705,0.482477992773056,0.39168090227127
"guido pella",0.328767123287671,-0.229613269445794,-0.151025219348709,0.428654235855353,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,-0.45545096947273,-0.387925063653371,-0.427301477069675,0.415062366723331,0.401031159352498,0.420278966426849,-0.0138043275453818
"holger rune",0.515592515592516,0.465550310768582,0.670015306736647,0.258515320744581,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.255365803336147,0.409538678207185,0.337434429263755,0.467207825162397,0.439302219901929,0.44332680106163,0.197713044564854
"hubert hurkacz",0.507014028056112,1.19259969217805,0.524730521517368,0.172383869284574,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.039844833668085,-0.00097204424348013,0.0849341602252244,0.499464544464011,0.507195103853602,0.488824337720871,0.418891468166979
"hugo dellien",0.354838709677419,-0.381713082564257,-0.582313942606586,0.299251171845533,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,-0.271394108133796,-0.230443518317294,-0.257729031223955,0.406260316388506,0.397766533318808,0.410034537315369,-0.0793231105532044
"ilya ivashka",0.342342342342342,0.0435319103739492,-0.00528123004355528,0.525508372302226,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,-0.479263006104121,-0.56387149197395,-0.678658559958502,0.433149301935251,0.447382293739613,0.48768538236618,0.0842577154967689
"jack draper",0.452054794520548,0.394679326332135,0.164184432539011,-0.300735017964713,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,-0.0532862338978715,0.149247820497038,0.161988573244558,0.462151048199204,0.424252389124459,0.417362958192825,0.113752468183906
"jack sock",0.456043956043956,0.614334239759467,1.5323276326063,0.374437469980957,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,-0.16248505724681,-0.0797652524253163,-3.61932321264795e-05,0.486830338134663,0.470902905923858,0.456051707267761,0.264824352799562
"james duckworth",0.458515283842795,0.75399394648829,-0.10343308170164,0.717396216814913,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,-1.8975227515349,2.21647510808534,0.000468294688993986,-0.0498517045012002,-0.156008024569102,0.458426555073081,0.467801833513086,0.491926312446594,0.238958435128545
"jannik sinner",0.472515856236786,0.688607179936523,-0.996596996626227,0.890836602986161,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.192211103020091,0.109276568856985,-0.0476715037293482,0.43609721836374,0.452159435234874,0.482725292444229,0.317258858072855
