"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"dominic stricker",0.4739336492891,-0.380274118921582,-0.386740725902538,0.908093761959606,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,0.025536106431937,0.15960041181712,0.0705722903703313,0.475735915523775,0.487249490412284,0.498016119003296,0.0503878291365878
"dominic thiem",0.547619047619048,0.392677319320719,1.13037535606465,0.479555851648676,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.491561406429855,0.309027588518746,0.473711828261869,0.483655005168786,0.474825528463048,0.536313414573669,0.184907861216281
"dominik koepfer",0.394366197183099,0.565458553132087,-1.32127546629745,-1.45548747560682,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,-0.241615910404458,-0.635475202661101,-0.828942903830175,0.478308621224613,0.448151900584139,0.324473023414612,-0.226984861076678
"dusan lajovic",0.449101796407186,-0.799402471682716,-1.62882122781004,-0.451241191766833,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,-0.24785152524436,0.0481190937385511,0.0114378091553257,0.467585295089535,0.486371244142451,0.506958365440369,-0.410060920224564
"egor gerasimov",0.433333333333333,2.00060036311181,0.914647220725189,-0.861849061742413,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.283434977900444,-0.167411294931285,-0.165043723622457,0.468913159570268,0.473819756881126,0.47307351231575,0.442150532436395
"emil ruusuvuori",0.292682926829268,-0.171090768101282,-1.33166752053394,-3.05347668272396,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.982793473778667,-0.999896170570921,-0.511273464653738,0.4627590244926,0.452185883842524,0.520509660243988,-0.424481254823357
"fabian marozsan",0.4625,0.334209564382153,-0.861253607775412,1.18563182134743,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,-0.265205985000623,0.229830665252436,0.137663152486049,0.464214606475086,0.496918280559182,0.528992712497711,-0.0148017679957688
"fabio fognini",0.458333333333333,-0.0365644807395135,0.389852796210325,-0.460721553878493,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,-0.181514629014275,0.0528679458723004,0.0233454503327452,0.468952115769927,0.483656951878276,0.500764548778534,-0.13971794195497
"facundo bagnis",0.476190476190476,0.627026602919065,-1.04289205024411,-1.34655672803485,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.115833385547619,-0.312473325303974,-0.224601897351336,0.468644490482425,0.447371268642182,0.411616176366806,-0.0619093841052269
"facundo diaz acosta",0.5,-0.682312644061326,-1.25865115094803,0.361060043476407,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.0731346381661691,0.0170180442207057,-0.0363946293952833,0.473012014308682,0.466659117567708,0.440491437911987,-0.265022843366881
"federico coria",0.456521739130435,-0.156286397360407,-0.507447598345031,-0.566504696632174,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,-0.162754092571021,-0.157090626825577,-0.218301239976216,0.470181308826709,0.466868579417322,0.433831721544266,-0.261059327422781
"federico delbonis",0.454545454545455,0.717461947981134,-1.46914262356604,-0.671391814474144,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,-0.366921136284304,-0.137716504640083,-0.275881700525119,0.460937422407456,0.469139337136866,0.419486433267593,-0.199019273128327
"feliciano lopez",0.527777777777778,2.76167756032167,2.27802659533382,-0.474697198267804,-0.471715455993728,-0.871083080434134,-0.717883570110689,4.7214205327094,0.52633157769824,0.17081729910755,0.208975511408737,0.489074013902615,0.47005229709819,0.481524884700775,0.981773002292945
"filip krajinovic",0.329411764705882,0.326676908837919,0.166314889784307,-0.26574872616679,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.628960558434922,-0.437966271242268,-0.554846234769548,0.472433376718193,0.486385484594474,0.469967275857925,0.113695295706781
"flavio cobolli",0.531645569620253,-0.818541000739236,0.0914762489092083,-0.53156308795409,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.230850990766102,0.0385829847821205,-0.000453744386021638,0.474413837713992,0.457792585302823,0.417869925498962,-0.255096893044841
"frances tiafoe",0.517575757575758,-0.677920643501583,0.964510783527365,1.09547276148446,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.329833039075521,0.152264389599889,0.339874947105344,0.481758829990652,0.471949428360189,0.529393494129181,0.0302850682030382
"francisco cerundolo",0.506493506493506,-0.581676566660524,0.00399166279545421,-0.235837103529706,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,-0.0579614176810677,-0.00920527446471175,0.0663998454497565,0.465597407922641,0.462300072696523,0.463022261857986,-0.257211496607196
"gabriel diallo",0.428571428571429,1.46435622532068,0.0878482157429098,-0.539490535535154,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,-0.256245067325436,-0.279772351636098,-0.217205123798172,0.471101710853799,0.466112041867075,0.463163614273071,0.108882115754876
"gael monfils",0.460869565217391,0.833220701957322,-0.940005448534581,0.818617204122086,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.0669078131267362,0.163556520698906,0.220271619462033,0.480174644708378,0.491975351546827,0.55420994758606,0.103943529206718
"gianluca mager",0.434782608695652,1.27164308841584,1.80097765404533,0.100643286062462,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.161128862127805,-0.0612590692646172,-0.127731822792259,0.489585082464372,0.482128176371827,0.482194095849991,0.377326188531056
"grigor dimitrov",0.527220630372493,-0.112130853295633,-0.456195275810327,-0.144579212624864,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,0.120682981822811,0.406615934121576,0.217642111009215,0.470065807968917,0.489779349412802,0.48457133769989,-0.017588500911188
"guido pella",0.488372093023256,-0.513243380683323,-1.35523047802293,-0.710314312772366,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.110584541554084,-0.390745917151076,-0.114722442165674,0.466570693388232,0.436784244899762,0.430258840322495,-0.241890282146758
"hamad medjedovic",0.454545454545455,0.900071779356467,-0.149755425177661,0.442295690150252,-0.471715455993728,-0.871083080434134,-0.717883570110689,4.7214205327094,0.469083923343034,-0.0488852657269732,-0.136065950199968,0.500330402875293,0.476500350620619,0.459301769733429,0.488548042798849
"henri laaksonen",0.537735849056604,-1.42165718049766,0.847241537516528,0.127802794588069,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,0.0110126196740715,-0.0391021282749528,0.138874943914784,0.462894480839526,0.449304898195991,0.451223254203796,-0.296695437301482
"holger rune",0.513157894736842,0.913166826474829,0.907025263921162,-0.0817389347761373,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.166207119058663,0.217891905913865,0.0730477762409378,0.47489048812532,0.478874940164966,0.457996010780334,0.202580408226558
"hubert hurkacz",0.485714285714286,0.270241775236687,0.52641547076285,0.958304573538154,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,0.0865478419697447,0.221211589392877,0.109940333367383,0.476366098154707,0.488388945966168,0.496995568275452,0.268607330276108
"hugo dellien",0.392857142857143,-0.50406738832601,-1.13623579313714,-1.54052194975113,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.491877994041799,-0.865692216147971,-0.503065732297991,0.466803685665165,0.429582959125106,0.418839871883392,-0.307490600665379
"hugo gaston",0.444444444444444,-1.06602740511796,1.3058435950146,0.60384266598053,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.242435302926423,-0.0236179702584095,-0.178312781352519,0.491575285091554,0.481994644360908,0.457758635282516,-0.0630759506966354
"ilya ivashka",0.518518518518518,-0.637503000823842,-0.217919943224774,-0.0978116506617963,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,0.155883265020341,0.0697504253211447,0.138714288219924,0.47338259205256,0.464794515294606,0.471130132675171,-0.0896739232594649
"jack draper",0.515294117647059,-0.668697056724664,-0.674541686260834,0.475692484418746,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.170287721407525,0.236243349590329,0.0963105148418303,0.474675725239899,0.47967647352196,0.462402582168579,-0.193418836461961
"jakub mensik",0.449275362318841,-1.15627371308751,-0.626465874452129,0.519545318744648,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.175777722237494,-0.184782691213634,-0.256015970291014,0.470948377255009,0.467013372839921,0.430615335702896,-0.162445403113497
"james duckworth",0.463768115942029,0.197420906455728,0.628127601840623,-0.227716692377408,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,-0.0189778461473997,0.0366192934231805,0.10002779666599,0.475575369710627,0.480480879675807,0.516958653926849,0.0233331907969549
"jannik sinner",0.553495007132668,-0.0852658628363987,-0.131045165392602,-0.390460437490872,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,0.074387146725455,0.169987108218237,0.212051452808408,0.462877918819492,0.461325770986167,0.455699592828751,-0.192133049103545
"jason kubler",0.476744186046512,-0.704771366614198,-0.927631350341372,0.162350334343628,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.182879727483257,0.199651930638732,0.171192327073838,0.465379727307759,0.489622195176822,0.523751616477966,-0.143707500203858
"jaume munar",0.455882352941176,-1.09064392650434,0.404544976982542,-0.129426257122516,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,-0.0480057031272188,-0.00587204454281423,-0.0677440261377221,0.475710141612272,0.479614579179959,0.477369755506516,-0.233652279697833
"jenson brooksby",0.441025641025641,-1.3070723825334,-0.576623077348039,-0.27938268437964,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,-0.441157088897105,-0.334244087492961,-0.243341665944274,0.460015496506371,0.457405509903178,0.442789971828461,-0.456686989458501
"jeremy chardy",0.512820512820513,2.50329245276452,0.00705904754324742,1.51982964858785,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.0701667522713044,0.133505743028989,0.13675298569386,0.470429303414425,0.471995848526199,0.476487636566162,0.58948157009044
"jiri lehecka",0.460674157303371,1.26241892790572,0.304168268951424,-0.545714424410453,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,-0.0770279947665501,-0.131566736777363,-0.178729137440144,0.473429550439888,0.467585704333235,0.440789371728897,0.0907135674716072
"jiri vesely",0.5,2.65343051027863,-0.790399287160188,1.58577877772146,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,0.03550833405149,0.0745830466316198,0.116135953528538,0.471239043863112,0.47142924983338,0.483927577733994,0.662308542599693
"joao sousa",0.409836065573771,-1.05834382204916,-0.31280780452844,0.979251935128882,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,-0.0279186188668727,-0.155058746796258,-0.280416575238314,0.485430465964422,0.482753732397424,0.464615106582642,-0.17884271319465
