rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
98,Jaume Munar,Spain,ESP,1814,76,2019-05-06,0,0,1866
99,Egor Gerasimov,Belarus,BLR,1812,46,2021-03-08,0,0,1932
100,James Duckworth,Australia,AUS,1807,62,2021-12-05,0,0,1887
101,Pablo Andujar,Spain,ESP,1806,49,2014-10-27,0,0,1929
102,Lucas Pouille,France,FRA,1806,20,2016-09-26,0,0,2069
103,Liam Broady,United Kingdom,GBR,1806,91,2024-02-12,0,0,1826
104,Pedro Martinez Portero,Spain,ESP,1806,43,2022-04-17,0,0,1926
105,Nikoloz Basilashvili,Georgia,GEO,1805,30,2019-01-07,0,0,1990
106,John Millman,Australia,AUS,1801,38,2018-09-10,0,0,1954
107,Sam Querrey,United States,USA,1799,18,2013-04-21,0,0,2068
108,Radu Albot,"Moldova, Republic of",MDA,1798,45,2019-04-01,0,0,1936
