server_name,random_intercept,group,model,rank,label
Cristian Garin,-0.008762327,m_second,Speed_MPH_z,111,Average
Daniel Evans,0.009087054,m_second,Speed_MPH_z,17,Average
Daniil Medvedev,-0.0161449,m_second,Speed_MPH_z,125,Under-performer
David Goffin,0.002722898,m_second,Speed_MPH_z,42,Average
Denis Kudla,0.006138451,m_second,Speed_MPH_z,25,Average
Denis Shapovalov,0.004091926,m_second,Speed_MPH_z,33,Average
Diego Schwartzman,0.00495917,m_second,Speed_MPH_z,29,Average
Dominic Stricker,-0.002391542,m_second,Speed_MPH_z,80,Average
Dominic Thiem,0.010696796,m_second,Speed_MPH_z,14,Average
Dominik Koepfer,-0.011215674,m_second,Speed_MPH_z,119,Under-performer
Dusan Lajovic,-0.006757014,m_second,Speed_MPH_z,103,Average
Elias Ymer,-0.001907727,m_second,Speed_MPH_z,77,Average
Emil Ruusuvuori,0.002591686,m_second,Speed_MPH_z,45,Average
Fabian Marozsan,0.000179827,m_second,Speed_MPH_z,63,Average
Fabio Fognini,-0.008964999,m_second,Speed_MPH_z,112,Average
Facundo Diaz Acosta,0.001811536,m_second,Speed_MPH_z,49,Average
Federico Delbonis,0.000980218,m_second,Speed_MPH_z,55,Average
Feliciano Lopez,0.000461462,m_second,Speed_MPH_z,61,Average
Frances Tiafoe,-0.000764294,m_second,Speed_MPH_z,67,Average
Francisco Cerundolo,-0.002466185,m_second,Speed_MPH_z,81,Average
Gael Monfils,-0.001407335,m_second,Speed_MPH_z,73,Average
Gijs Brouwer,0.005328173,m_second,Speed_MPH_z,28,Average
Grigor Dimitrov,0.017294038,m_second,Speed_MPH_z,4,Over-performer
Guido Pella,0.002798772,m_second,Speed_MPH_z,41,Average
Holger Rune,0.011204331,m_second,Speed_MPH_z,12,Average
Hubert Hurkacz,-0.003461494,m_second,Speed_MPH_z,86,Average
Hugo Dellien,0.002808162,m_second,Speed_MPH_z,40,Average
Ilya Ivashka,-0.011543879,m_second,Speed_MPH_z,120,Under-performer
Jack Draper,-0.009659311,m_second,Speed_MPH_z,114,Average
Jack Sock,0.003163295,m_second,Speed_MPH_z,39,Average
James Duckworth,-0.006301096,m_second,Speed_MPH_z,99,Average
Jannik Sinner,0.009607497,m_second,Speed_MPH_z,15,Average
Jason Kubler,-0.006789009,m_second,Speed_MPH_z,104,Average
Jaume Munar,-0.004256268,m_second,Speed_MPH_z,93,Average
Jenson Brooksby,0.003969584,m_second,Speed_MPH_z,34,Average
Jiri Lehecka,-0.006311474,m_second,Speed_MPH_z,100,Average
Jiri Vesely,-0.000144277,m_second,Speed_MPH_z,64,Average
