server_name,random_intercept,group,model,label
Nick Kyrgios,-0.0446963698857063,m_first,speed_ratio_z,Average
Nicolas Jarry,0.0576487442105369,m_first,speed_ratio_z,Average
Nikoloz Basilashvili,-0.0800962505006046,m_first,speed_ratio_z,Average
Novak Djokovic,0.0576256610390386,m_first,speed_ratio_z,Average
Oscar Otte,-0.135222459343823,m_first,speed_ratio_z,Average
Pablo Andujar,0.0445876118596648,m_first,speed_ratio_z,Average
Pedro Cachin,0.0640987266605354,m_first,speed_ratio_z,Average
Pedro Martinez,-0.106899472293811,m_first,speed_ratio_z,Average
Philipp Kohlschreiber,0.225978734174608,m_first,speed_ratio_z,Average
Quentin Halys,0.100427399551906,m_first,speed_ratio_z,Average
Radu Albot,-0.0985783588225024,m_first,speed_ratio_z,Average
Rafael Nadal,-0.125061922426255,m_first,speed_ratio_z,Average
Ricardas Berankis,0.0649910667254572,m_first,speed_ratio_z,Average
Richard Gasquet,-0.1217441233581,m_first,speed_ratio_z,Average
Roberto Bautista Agut,-0.337090178358261,m_first,speed_ratio_z,Under-performer
Roberto Carballes Baena,-0.202253146430238,m_first,speed_ratio_z,Average
Roger Federer,-0.0128018575695114,m_first,speed_ratio_z,Average
Roman Safiullin,-0.14353432174549,m_first,speed_ratio_z,Average
Salvatore Caruso,-0.0966932740285086,m_first,speed_ratio_z,Average
Sam Querrey,0.0641137702429266,m_first,speed_ratio_z,Average
Sebastian Korda,-0.0795698573028478,m_first,speed_ratio_z,Average
Stan Wawrinka,0.016819066500522,m_first,speed_ratio_z,Average
Stefan Kozlov,-0.222962334830842,m_first,speed_ratio_z,Average
Stefanos Tsitsipas,0.258641221226278,m_first,speed_ratio_z,Over-performer
Steve Johnson,0.0421805085459454,m_first,speed_ratio_z,Average
Tallon Griekspoor,0.0367463216159037,m_first,speed_ratio_z,Average
Taro Daniel,-0.0749780971214388,m_first,speed_ratio_z,Average
Taylor Fritz,0.0614034699671222,m_first,speed_ratio_z,Average
Tennys Sandgren,-0.0361817046177689,m_first,speed_ratio_z,Average
Thanasi Kokkinakis,0.0484412465160666,m_first,speed_ratio_z,Average
Thiago Seyboth Wild,-0.0775837311801763,m_first,speed_ratio_z,Average
Tim Van Rijthoven,0.0424875945836555,m_first,speed_ratio_z,Average
Tommy Paul,0.0926809420531963,m_first,speed_ratio_z,Average
Ugo Humbert,0.0249402637161561,m_first,speed_ratio_z,Average
Yannick Hanfmann,0.0285095871837295,m_first,speed_ratio_z,Average
Yibing Wu,0.00716341109656073,m_first,speed_ratio_z,Average
Yoshihito Nishioka,0.0804897263637388,m_first,speed_ratio_z,Average
